,time,point,value
0,02:00,POINT (-603.140665680056 5132.275080109213),159
1,04:00,POINT (535.4874987111288 4426.070086468944),156
2,01:00,POINT (-1230.2800729737107 3319.4323014799825),153
3,03:00,POINT (-1280.5301878084938 3537.04015791116),151
4,03:00,POINT (-673.993358110065 6036.860938124659),151
5,02:00,POINT (25.14705315156719 5226.253681137051),149
6,19:00,POINT (-260.45747053139064 5026.150804179361),147
7,01:00,POINT (1412.644760167943 3414.0178787864565),147
8,03:00,POINT (-1286.336077813878 3285.447656269636),146
9,02:00,POINT (605.0606339361797 424.15209856388833),144
10,03:00,POINT (-4591.633207720222 7521.247043630944),144
11,01:00,POINT (616.2956028633527 2274.8909931311796),143
12,01:00,POINT (605.0606339361797 424.15209856388833),143
13,00:00,POINT (-1784.4648748247973 3740.397263143781),143
14,04:00,POINT (1312.2722771083413 3535.58422740479),143
15,02:00,POINT (-483.6070831695373 5757.9034671816335),142
16,01:00,POINT (-4333.515968465038 7615.737312613843),141
17,03:00,POINT (-68.03672015984428 4500.638259876133),141
18,02:00,POINT (-1774.0073533619118 4052.620422758957),140
19,03:00,POINT (-534.1316475698052 4783.913405574674),140
20,03:00,POINT (-631.1264069717149 5183.043067045653),140
21,05:00,POINT (-471.31460839871494 5770.685051006932),139
22,01:00,POINT (-3653.7001033596434 4802.179237690303),139
23,01:00,POINT (-1578.3241572976324 3810.576991082258),139
24,00:00,POINT (-1023.5928882400924 2417.845832751361),139
25,01:00,POINT (-46.656919104017646 5327.906567472792),138
26,03:00,POINT (2142.9119426448406 4759.893826417769),138
27,01:00,POINT (-1658.825639724064 6184.085888451759),138
28,04:00,POINT (955.7157859498368 338.98841714798596),138
29,05:00,POINT (-1558.517200825967 5600.664347152427),137
30,01:00,POINT (-1442.7043528192528 2478.479664916662),137
31,01:00,POINT (-3204.8464903056683 7842.437308158231),137
32,03:00,POINT (-2638.0240332388503 6888.773195452822),137
33,01:00,POINT (-1694.505856483093 2049.322365937635),137
34,02:00,POINT (-1016.1007702949528 1448.9309138248868),136
35,01:00,POINT (-4196.480509607843 4895.394159486577),136
36,03:00,POINT (-1774.0073533619118 4052.620422758957),136
37,04:00,POINT (-1608.4467532686513 3792.329605710588),136
38,22:00,POINT (-225.9209866450221 3878.053697626113),136
39,02:00,POINT (-2374.205219303569 2585.3543368253213),136
40,02:00,POINT (1033.4080922685016 424.13877539643045),135
41,03:00,POINT (1760.9677030231485 5175.715272920123),135
42,03:00,POINT (-4196.480509607843 4895.394159486577),135
43,02:00,POINT (-1350.688345439653 1990.3876347179978),135
44,02:00,POINT (-186.01876942421933 1524.3262297635556),135
45,07:00,POINT (1312.2722771083413 3535.58422740479),135
46,04:00,POINT (-4524.690918788527 4888.139820285211),134
47,03:00,POINT (534.869503473957 4412.508707969395),134
48,01:00,POINT (1308.4011256519482 4426.230652612812),134
49,06:00,POINT (-186.01876942421933 1524.3262297635556),134
50,00:00,POINT (-1578.3241572976324 3810.576991082258),134
51,02:00,POINT (-1336.5882074093379 3904.4779350882313),134
52,04:00,POINT (-4574.968826688322 7279.39539289574),134
53,02:00,POINT (-2475.574738616793 6768.212324053232),134
54,03:00,POINT (-4574.588058437561 7362.077057098975),134
